Order ID,Product Name,Category,Price (INR),Quantity Sold,Total Sales (INR),Order Date,Payment Method,Customer Rating,Month,Year,Day
ORD00001,Educational Book,Books,49069.56,2,98139.12,12-09-2024,Debit Card,3.5,September,2024,Thursday
ORD00002,Jeans,Clothing,12755.85,4,51023.4,18-12-2024,UPI,3.9,December,2024,Wednesday
ORD00003,Face Cream,Beauty,11092.19,4,44368.76,18-05-2024,Debit Card,4.4,May,2024,Saturday
ORD00004,Smartwatch,Electronics,32657.81,1,32657.81,08-11-2024,Debit Card,3.2,November,2024,Friday
ORD00005,Cookware Set,Home & Kitchen,26590.08,3,79770.24,27-12-2024,UPI,3.1,December,2024,Friday
ORD00006,Mixer Grinder,Home & Kitchen,10475.03,2,20950.06,22-10-2024,Wallet,1.7,October,2024,Tuesday
ORD00007,Sneakers,Clothing,38647.72,3,115943.16,04-07-2024,Wallet,2,July,2024,Thursday
ORD00008,Table Lamp,Home & Kitchen,24818.59,3,74455.77,27-12-2024,Debit Card,2.4,December,2024,Friday
ORD00009,Jacket,Clothing,1987.39,2,3974.78,18-01-2025,Debit Card,2.6,January,2025,Saturday
ORD00010,Tablet,Electronics,26876.51,2,53753.02,14-03-2024,Debit Card,4,March,2024,Thursday
ORD00011,Perfume,Beauty,46409.57,5,232047.85,08-02-2025,UPI,2.3,February,2025,Saturday
ORD00012,Lipstick,Beauty,48780.78,5,243903.9,13-04-2024,UPI,1.3,April,2024,Saturday
ORD00013,Educational Book,Books,6670.82,5,33354.1,23-02-2024,COD,1.2,February,2024,Friday
ORD00014,Smartphone,Electronics,10826.05,1,10826.05,02-06-2024,Wallet,3.7,June,2024,Sunday
ORD00015,Comic Book,Books,6839.1,1,6839.1,12-09-2024,Credit Card,1.6,September,2024,Thursday
ORD00016,Mixer Grinder,Home & Kitchen,18197.89,5,90989.45,30-03-2024,Debit Card,1.6,March,2024,Saturday
ORD00017,Cookbook,Books,20817.46,2,41634.92,30-03-2024,Debit Card,2.3,March,2024,Saturday
ORD00018,Perfume,Beauty,44061.25,4,176245,22-04-2024,COD,2.5,April,2024,Monday
ORD00019,Cookbook,Books,4398.59,5,21992.95,22-03-2024,Wallet,4,March,2024,Friday
ORD00020,T-Shirt,Clothing,32565.77,5,162828.85,06-01-2025,COD,4.4,January,2025,Monday
ORD00021,Cookware Set,Home & Kitchen,47529.36,1,47529.36,09-07-2024,Net Banking,4.5,July,2024,Tuesday
ORD00022,Jeans,Clothing,37129.73,3,111389.19,22-01-2025,Wallet,4.3,January,2025,Wednesday
ORD00023,Educational Book,Books,48258.19,4,193032.76,23-06-2024,UPI,1.6,June,2024,Sunday
ORD00024,Bedsheet,Home & Kitchen,32505.96,1,32505.96,19-03-2024,Wallet,2.8,March,2024,Tuesday
ORD00025,Cookware Set,Home & Kitchen,4165.64,2,8331.28,24-11-2024,COD,1.1,November,2024,Sunday
ORD00026,T-Shirt,Clothing,2053.11,4,8212.44,23-07-2024,COD,3.4,July,2024,Tuesday
